decoding_mode,diversity_outcome,mechanism,formula,estimate,cluster_se,p_value,ci95_low,ci95_high,n_cells,n_question_clusters,question_fixed_effects,interpretation
pure_top_p,unique_answer_rate,mean_token_entropy_nats,standardized unique_answer_rate ~ standardized mean_token_entropy_nats + categorical temperature + categorical top_p,0.25325433742008785,0.06188944618016898,4.275874769470975e-05,0.13195102290695665,0.37455765193321905,450,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate
pure_top_p,unique_answer_rate,mean_effective_support_size,standardized unique_answer_rate ~ standardized mean_effective_support_size + categorical temperature + categorical top_p,0.07979076670971529,0.028295173382513226,0.004803223039175968,0.024332226879989365,0.1352493065394412,450,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate
pure_top_p,unique_answer_rate,mean_retained_support_size,standardized unique_answer_rate ~ standardized mean_retained_support_size + categorical temperature + categorical top_p,0.0804173584567496,0.0352132015070091,0.022387547798529212,0.011399483503011773,0.14943523341048742,450,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate
pure_top_p,unique_answer_rate,mean_max_token_probability,standardized unique_answer_rate ~ standardized mean_max_token_probability + categorical temperature + categorical top_p,-0.5635620415082975,0.09514784778156582,3.1609378022719874e-09,-0.7500518231601665,-0.37707225985642845,450,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate
pure_top_p,pairwise_token_jaccard_distance,mean_token_entropy_nats,standardized pairwise_token_jaccard_distance ~ standardized mean_token_entropy_nats + categorical temperature + categorical top_p,0.4225850073159364,0.06701456883442466,2.8658369877855336e-10,0.29123645240046403,0.5539335622314088,450,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate
pure_top_p,pairwise_token_jaccard_distance,mean_effective_support_size,standardized pairwise_token_jaccard_distance ~ standardized mean_effective_support_size + categorical temperature + categorical top_p,0.1785967674896018,0.03283165569319388,5.3348380485965114e-08,0.1142467223309418,0.2429468126482618,450,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate
pure_top_p,pairwise_token_jaccard_distance,mean_retained_support_size,standardized pairwise_token_jaccard_distance ~ standardized mean_retained_support_size + categorical temperature + categorical top_p,0.21289924317992964,0.038267777100503934,2.6455692402377433e-08,0.13789440006294193,0.2879040862969173,450,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate
pure_top_p,pairwise_token_jaccard_distance,mean_max_token_probability,standardized pairwise_token_jaccard_distance ~ standardized mean_max_token_probability + categorical temperature + categorical top_p,-0.7315879519874098,0.0933782782660317,4.70077407586533e-15,-0.914609377388832,-0.5485665265859876,450,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate
pure_top_k,unique_answer_rate,mean_token_entropy_nats,standardized unique_answer_rate ~ standardized mean_token_entropy_nats + categorical temperature + categorical top_k,0.657729776146528,0.06257304715477084,7.655579777006388e-26,0.5350866037231771,0.7803729485698788,600,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate
pure_top_k,unique_answer_rate,mean_effective_support_size,standardized unique_answer_rate ~ standardized mean_effective_support_size + categorical temperature + categorical top_k,0.428118750174765,0.07957151519214456,7.436115304185394e-08,0.27215858039816165,0.5840789199513683,600,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate
pure_top_k,unique_answer_rate,mean_retained_support_size,standardized unique_answer_rate ~ standardized mean_retained_support_size + categorical temperature + categorical top_k,-8.08245737118742,1.911933679454065,2.3643523896371103e-05,-11.829847382917388,-4.335067359457453,600,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate
pure_top_k,unique_answer_rate,mean_max_token_probability,standardized unique_answer_rate ~ standardized mean_max_token_probability + categorical temperature + categorical top_k,-0.659889252207853,0.08158031150498517,6.024069527851795e-16,-0.8197866627576239,-0.4999918416580821,600,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate
pure_top_k,pairwise_token_jaccard_distance,mean_token_entropy_nats,standardized pairwise_token_jaccard_distance ~ standardized mean_token_entropy_nats + categorical temperature + categorical top_k,0.7697222065826301,0.05718091144577831,2.6467665951913073e-41,0.6576476201489047,0.8817967930163556,600,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate
pure_top_k,pairwise_token_jaccard_distance,mean_effective_support_size,standardized pairwise_token_jaccard_distance ~ standardized mean_effective_support_size + categorical temperature + categorical top_k,0.5273482386459524,0.0800217788064524,4.396520107993091e-11,0.3705055521853057,0.6841909251065991,600,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate
pure_top_k,pairwise_token_jaccard_distance,mean_retained_support_size,standardized pairwise_token_jaccard_distance ~ standardized mean_retained_support_size + categorical temperature + categorical top_k,-6.930813473472648,1.905730599443913,0.0002760166294653456,-10.666045448382718,-3.1955814985625786,600,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate
pure_top_k,pairwise_token_jaccard_distance,mean_max_token_probability,standardized pairwise_token_jaccard_distance ~ standardized mean_max_token_probability + categorical temperature + categorical top_k,-0.7443203674356599,0.09116757376291275,3.2327674654050463e-16,-0.9230088120109688,-0.5656319228603509,600,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate
