metric,metric_source,parameter,parameter_value,baseline_parameter_value,temperature_low,temperature_high,difference_in_differences,se_across_prompts,ci95_low,ci95_high,n_prompts
semantic_cosine_distance,direct_generation,top_p,0.8,0.6,0.1,1.5,0.040081053044088294,0.009430537476054128,0.021129678459390643,0.059032427628785945,50
semantic_cosine_distance,direct_generation,top_p,0.9,0.6,0.1,1.5,0.06511743697654467,0.010846214001208781,0.04332115390311105,0.08691372004997827,50
semantic_cosine_distance,direct_generation,top_p,0.95,0.6,0.1,1.5,0.07424284198572863,0.013144467374498337,0.04782804584468359,0.10065763812677367,50
semantic_near_duplicate_rate,direct_generation,top_p,0.8,0.6,0.1,1.5,-0.07206666666666667,0.04135317605780754,-0.15516898524908246,0.011035651915749109,50
semantic_near_duplicate_rate,direct_generation,top_p,0.9,0.6,0.1,1.5,-0.1330666666666667,0.04321321289498714,-0.2199068692172268,-0.046226464116106605,50
semantic_near_duplicate_rate,direct_generation,top_p,0.95,0.6,0.1,1.5,-0.13073333333333337,0.052100573418791596,-0.23543335551597083,-0.026033311150695904,50
semantic_cosine_distance,direct_generation,top_k,15.0,10.0,0.1,1.5,0.0031318237120635216,0.0056076436472117545,-0.008137158100018312,0.014400805524145355,50
semantic_cosine_distance,direct_generation,top_k,20.0,10.0,0.1,1.5,0.009506604509986971,0.005612856377906093,-0.001772852676616029,0.02078606169658997,50
semantic_cosine_distance,direct_generation,top_k,25.0,10.0,0.1,1.5,0.01736905134082775,0.006329502338399794,0.004649440178227911,0.030088662503427593,50
semantic_cosine_distance,direct_generation,top_k,30.0,10.0,0.1,1.5,0.012546780492848485,0.005773487851853727,0.0009445222738967488,0.02414903871180022,50
semantic_near_duplicate_rate,direct_generation,top_k,15.0,10.0,0.1,1.5,-0.003666666666666667,0.017115653017962605,-0.03806185913886065,0.030728525805527318,50
semantic_near_duplicate_rate,direct_generation,top_k,20.0,10.0,0.1,1.5,-0.012133333333333338,0.016728798474866576,-0.04575111249535059,0.021484445828683918,50
semantic_near_duplicate_rate,direct_generation,top_k,25.0,10.0,0.1,1.5,-0.020333333333333335,0.017678471219853876,-0.05585955132705362,0.01519288466038695,50
semantic_near_duplicate_rate,direct_generation,top_k,30.0,10.0,0.1,1.5,0.002066666666666661,0.017259626122183267,-0.03261785059058179,0.03675118392391511,50
