decoding_mode,metric,extreme,temperature,top_p,top_k,mean,ci95_low,ci95_high
pure_top_k,corpus_distinct_1,minimum,0.1,1.0,15,0.06051196072319158,0.047659563276026634,0.07336435817035653
pure_top_k,corpus_distinct_1,maximum,1.5,1.0,25,0.3189418669881005,0.2869745327660296,0.35090920121017144
pure_top_k,corpus_distinct_2,minimum,0.1,1.0,30,0.08805844945843389,0.06040644925084586,0.11571044966602191
pure_top_k,corpus_distinct_2,maximum,1.5,1.0,25,0.605352959415389,0.5510472078279133,0.6596587110028648
pure_top_k,correctness,minimum,1.5,1.0,15,0.42480000000000007,0.3328947353847453,0.5167052646152548
pure_top_k,correctness,maximum,0.1,1.0,15,0.4472,0.33269808847010457,0.5617019115298953
pure_top_k,informativeness,minimum,0.1,1.0,25,0.32480000000000003,0.26019036554816305,0.389409634451837
pure_top_k,informativeness,maximum,1.0,1.0,10,0.35300000000000004,0.29286254411766327,0.4131374558823368
pure_top_k,model_generation_latency_seconds,minimum,0.1,1.0,25,0.3982805429194123,0.3039928242014858,0.49256826163733874
pure_top_k,model_generation_latency_seconds,maximum,1.5,1.0,20,0.4674916644576937,0.3918677407587574,0.54311558815663
pure_top_k,pairwise_token_jaccard_distance,minimum,0.1,1.0,10,0.08727280650017516,0.04953411959187881,0.1250114934084715
pure_top_k,pairwise_token_jaccard_distance,maximum,1.5,1.0,25,0.6607397219419849,0.5940811423636021,0.7273983015203678
pure_top_k,stopped_early_on_eos,minimum,0.1,1.0,25,0.9128000000000001,0.8404341313601502,0.9851658686398499
pure_top_k,stopped_early_on_eos,maximum,0.3,1.0,10,0.9391999999999999,0.8876196527347866,0.9907803472652132
pure_top_k,strict_accuracy,minimum,1.5,1.0,15,0.2608,0.1639542534542688,0.3576457465457311
pure_top_k,strict_accuracy,maximum,0.1,1.0,15,0.3096,0.18474516486735484,0.43445483513264516
pure_top_k,tokens_per_second,minimum,1.5,1.0,25,40.91408267438936,40.17379028947797,41.654375059300754
pure_top_k,tokens_per_second,maximum,0.1,1.0,25,41.196448882088035,40.519599967722215,41.873297796453855
pure_top_k,trigram_repetition_rate,minimum,0.1,1.0,10,0.0,0.0,0.0
pure_top_k,trigram_repetition_rate,maximum,1.0,1.0,15,0.0006770885894614006,0.00019466019893990202,0.0011595169799828993
pure_top_k,unique_answer_rate,minimum,0.1,1.0,10,0.0944,0.06898216814911233,0.11981783185088767
pure_top_k,unique_answer_rate,maximum,1.5,1.0,25,0.76,0.673303028887971,0.846696971112029
pure_top_k,within_answer_distinct_1,minimum,0.7,1.0,10,0.972440811160779,0.9625368784838463,0.9823447438377116
pure_top_k,within_answer_distinct_1,maximum,0.1,1.0,20,0.9811177242067933,0.9704595749291381,0.9917758734844485
pure_top_k,within_answer_distinct_2,minimum,1.5,1.0,10,0.7959198263779242,0.7025230538907269,0.8893165988651216
pure_top_k,within_answer_distinct_2,maximum,1.5,1.0,20,0.8128416347034297,0.7219562311457948,0.9037270382610647
pure_top_k,word_length,minimum,0.1,1.0,20,11.331199999999999,8.460698740515168,14.20170125948483
pure_top_k,word_length,maximum,1.5,1.0,20,13.012799999999997,10.756847034589592,15.268752965410402
pure_top_p,corpus_distinct_1,minimum,0.1,0.6,0,0.040162504671666224,0.03896064143352895,0.041364367909803496
pure_top_p,corpus_distinct_1,maximum,1.5,0.95,0,0.440222039043904,0.3822242605159944,0.4982198175718136
pure_top_p,corpus_distinct_2,minimum,0.1,0.6,0,0.042994427511902474,0.03997380205121576,0.04601505297258919
pure_top_p,corpus_distinct_2,maximum,1.5,0.95,0,0.6931327699015353,0.6349901447996333,0.7512753950034372
pure_top_p,correctness,minimum,0.7,0.9,0,0.4236,0.3204584587278239,0.5267415412721761
pure_top_p,correctness,maximum,1.5,0.9,0,0.46159999999999995,0.37962671108220675,0.5435732889177932
pure_top_p,informativeness,minimum,1.5,0.95,0,0.26839999999999997,0.21242979992889072,0.3243702000711092
pure_top_p,informativeness,maximum,1.0,0.9,0,0.34759999999999996,0.2874617358414794,0.40773826415852055
pure_top_p,model_generation_latency_seconds,minimum,0.1,0.9,0,0.397232780613564,0.302828325917124,0.491637235310004
pure_top_p,model_generation_latency_seconds,maximum,1.5,0.95,0,0.5407454487722367,0.4603299160521859,0.6211609814922876
pure_top_p,pairwise_token_jaccard_distance,minimum,0.1,0.6,0,0.025494306859981917,0.001959307531307311,0.04902930618865652
pure_top_p,pairwise_token_jaccard_distance,maximum,1.5,0.95,0,0.707091444044916,0.6357780528047406,0.7784048352850913
pure_top_p,stopped_early_on_eos,minimum,1.5,0.95,0,0.8216000000000001,0.767550976919097,0.8756490230809032
pure_top_p,stopped_early_on_eos,maximum,0.7,0.8,0,0.9488,0.9084153407343828,0.9891846592656172
pure_top_p,strict_accuracy,minimum,1.5,0.95,0,0.24000000000000005,0.1503160393381292,0.3296839606618709
pure_top_p,strict_accuracy,maximum,0.1,0.6,0,0.3104,0.1825911667528414,0.43820883324715865
pure_top_p,tokens_per_second,minimum,0.3,0.95,0,40.54968755051015,39.84676066935574,41.25261443166456
pure_top_p,tokens_per_second,maximum,1.5,0.6,0,40.95402468324315,40.257946561282914,41.65010280520338
pure_top_p,trigram_repetition_rate,minimum,0.1,0.6,0,0.0,0.0,0.0
pure_top_p,trigram_repetition_rate,maximum,1.5,0.95,0,0.0009204755375343607,0.0001004983059832913,0.00174045276908543
pure_top_p,unique_answer_rate,minimum,0.1,0.6,0,0.0456,0.04058620144002574,0.05061379855997426
pure_top_p,unique_answer_rate,maximum,1.5,0.95,0,0.7776000000000001,0.6926818393039511,0.862518160696049
pure_top_p,within_answer_distinct_1,minimum,1.0,0.9,0,0.973149248831923,0.9643391403875771,0.9819593572762689
