decoding_mode,temperature,top_p,top_k,prompt_id,n_answers,n_pairs,semantic_cosine_distance,semantic_near_duplicate_rate,semantic_similarity_mean,semantic_similarity_sd
pure_top_k,0.1,1.0,10,0,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,10,1,25,300,0.00666113430634141,1.0,0.993338942527771,0.00732699129730463
pure_top_k,0.1,1.0,10,2,25,300,0.03474663943052292,0.8466666666666667,0.9652534127235413,0.08178535848855972
pure_top_k,0.1,1.0,10,3,25,300,0.0023272510152310133,1.0,0.9976727366447449,0.0022697518579661846
pure_top_k,0.1,1.0,10,4,25,300,9.536743306171047e-08,1.0,1.0,1.1699592761260647e-07
pure_top_k,0.1,1.0,10,5,25,300,1.9073486612342094e-07,1.0,0.9999998211860657,1.3562194567384722e-07
pure_top_k,0.1,1.0,10,6,25,300,0.06739339232444763,0.6466666666666666,0.9326066374778748,0.08934400230646133
pure_top_k,0.1,1.0,10,7,25,300,0.04774513095617294,0.5166666666666667,0.9522548317909241,0.029611891135573387
pure_top_k,0.1,1.0,10,8,25,300,3.099441414633475e-08,1.0,1.0,5.970423444523476e-08
pure_top_k,0.1,1.0,10,9,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,10,10,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,10,11,25,300,0.07999646663665771,0.8466666666666667,0.9200034737586975,0.18829263746738434
pure_top_k,0.1,1.0,10,12,25,300,2.384185791015625e-07,1.0,0.9999998211860657,1.7262681240026723e-07
pure_top_k,0.1,1.0,10,13,25,300,0.019278375431895256,0.8466666666666667,0.980721652507782,0.04537655785679817
pure_top_k,0.1,1.0,10,14,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,10,15,25,300,2.3841858265427618e-08,1.0,1.0,8.443453936024525e-08
pure_top_k,0.1,1.0,10,16,25,300,1.0490417423625331e-07,1.0,1.0,1.3925300379469263e-07
pure_top_k,0.1,1.0,10,17,25,300,4.2915345943583816e-08,1.0,1.0,5.066072361614715e-08
pure_top_k,0.1,1.0,10,18,25,300,0.0009802099084481597,1.0,0.9990198016166687,0.00332960719242692
pure_top_k,0.1,1.0,10,19,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,10,20,25,300,0.011039434932172298,1.0,0.9889605641365051,0.011057860217988491
pure_top_k,0.1,1.0,10,21,25,300,0.026316750794649124,0.6566666666666666,0.9736832976341248,0.03943232446908951
pure_top_k,0.1,1.0,10,22,25,300,0.06942937523126602,0.37,0.930570662021637,0.05195077136158943
pure_top_k,0.1,1.0,10,23,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,10,24,25,300,0.10001454502344131,0.4033333333333333,0.8999854326248169,0.07974736392498016
pure_top_k,0.1,1.0,10,25,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,10,26,25,300,0.010491804219782352,1.0,0.9895082712173462,0.00897806603461504
pure_top_k,0.1,1.0,10,27,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,10,28,25,300,0.017493728548288345,0.92,0.9825063347816467,0.04359196871519089
pure_top_k,0.1,1.0,10,29,25,300,0.03818628937005997,0.7733333333333333,0.961813747882843,0.08023731410503387
pure_top_k,0.1,1.0,10,30,25,300,1.6212463549436507e-07,1.0,0.9999998807907104,1.1453258252913656e-07
pure_top_k,0.1,1.0,10,31,25,300,1.4305114426349519e-08,1.0,1.0,5.066072361614715e-08
pure_top_k,0.1,1.0,10,32,25,300,0.008374787867069244,0.9166666666666666,0.991625189781189,0.01794297620654106
pure_top_k,0.1,1.0,10,33,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,10,34,25,300,0.06391610950231552,0.8466666666666667,0.9360838532447815,0.15044346451759338
pure_top_k,0.1,1.0,10,35,25,300,9.536743306171047e-08,1.0,1.0,1.1699592761260647e-07
pure_top_k,0.1,1.0,10,36,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,10,37,25,300,1.668930060816365e-08,1.0,1.0,3.1592509941447133e-08
pure_top_k,0.1,1.0,10,38,25,300,2.1457672971791908e-08,1.0,1.0,3.582254137768359e-08
pure_top_k,0.1,1.0,10,39,25,300,4.7683716530855236e-08,1.0,1.0,5.849796380630323e-08
pure_top_k,0.1,1.0,10,40,25,300,0.012293276377022266,0.92,0.98770672082901,0.041758179664611816
pure_top_k,0.1,1.0,10,41,25,300,8.583069188716763e-08,1.0,1.0,1.013214472322943e-07
pure_top_k,0.1,1.0,10,42,25,300,3.814697180359872e-08,1.0,1.0,4.776338613510234e-08
pure_top_k,0.1,1.0,10,43,25,300,0.10259144753217697,0.6666666666666666,0.897408664226532,0.1453283727169037
pure_top_k,0.1,1.0,10,44,25,300,0.029491612687706947,0.72,0.9705083966255188,0.047370802611112595
pure_top_k,0.1,1.0,10,45,25,300,0.08009746670722961,0.5766666666666667,0.9199025630950928,0.09329419583082199
pure_top_k,0.1,1.0,10,46,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,10,47,25,300,0.08339615166187286,0.25,0.9166038036346436,0.054453205317258835
pure_top_k,0.1,1.0,10,48,25,300,9.298324243900424e-08,1.0,1.0,1.0061536670491478e-07
pure_top_k,0.1,1.0,10,49,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,15,0,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,15,1,25,300,0.0061713471077382565,1.0,0.9938287138938904,0.00726430956274271
pure_top_k,0.1,1.0,15,2,25,300,0.049853868782520294,0.78,0.9501461982727051,0.0940285474061966
pure_top_k,0.1,1.0,15,3,25,300,0.0019041072810068727,1.0,0.9980959296226501,0.002241317881271243
pure_top_k,0.1,1.0,15,4,25,300,9.536743306171047e-08,1.0,1.0,1.1699592761260647e-07
pure_top_k,0.1,1.0,15,5,25,300,1.9073486612342094e-07,1.0,0.9999998211860657,1.3562194567384722e-07
pure_top_k,0.1,1.0,15,6,25,300,0.0643208771944046,0.6533333333333333,0.9356791377067566,0.08634290099143982
pure_top_k,0.1,1.0,15,7,25,300,0.049358662217855453,0.43666666666666665,0.9506414532661438,0.03555532917380333
pure_top_k,0.1,1.0,15,8,25,300,3.099441414633475e-08,1.0,1.0,5.970423444523476e-08
pure_top_k,0.1,1.0,15,9,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,15,10,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,15,11,25,300,0.11476389318704605,0.78,0.8852360844612122,0.2164541780948639
pure_top_k,0.1,1.0,15,12,25,300,0.012510486878454685,0.92,0.9874895215034485,0.042495205998420715
pure_top_k,0.1,1.0,15,13,25,300,0.010058320127427578,0.92,0.9899417161941528,0.03416614234447479
pure_top_k,0.1,1.0,15,14,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,15,15,25,300,2.3841858265427618e-08,1.0,1.0,8.443453936024525e-08
pure_top_k,0.1,1.0,15,16,25,300,1.0490417423625331e-07,1.0,1.0,1.3925300379469263e-07
pure_top_k,0.1,1.0,15,17,25,300,0.00023458719078917056,1.0,0.9997653961181641,0.0005520624108612537
pure_top_k,0.1,1.0,15,18,25,300,0.004980236757546663,1.0,0.9950197339057922,0.006509433966130018
pure_top_k,0.1,1.0,15,19,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,15,20,25,300,0.010009112767875195,1.0,0.9899908304214478,0.011009570211172104
pure_top_k,0.1,1.0,15,21,25,300,0.018597368150949478,0.8,0.981402575969696,0.02688208408653736
pure_top_k,0.1,1.0,15,22,25,300,0.07265613228082657,0.43,0.9273438453674316,0.06222514063119888
pure_top_k,0.1,1.0,15,23,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,15,24,25,300,0.13919350504875183,0.30333333333333334,0.8608064651489258,0.0929010733962059
pure_top_k,0.1,1.0,15,25,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,15,26,25,300,0.010359999723732471,1.0,0.9896398782730103,0.009546236135065556
pure_top_k,0.1,1.0,15,27,25,300,0.08171019703149796,0.71,0.9182897806167603,0.12938250601291656
pure_top_k,0.1,1.0,15,28,25,300,0.0025572648737579584,1.0,0.9974428415298462,0.00868659745901823
pure_top_k,0.1,1.0,15,29,25,300,0.009888002648949623,0.92,0.9901120066642761,0.03358761593699455
pure_top_k,0.1,1.0,15,30,25,300,1.6212463549436507e-07,1.0,0.9999998807907104,1.1453258252913656e-07
pure_top_k,0.1,1.0,15,31,25,300,1.4305114426349519e-08,1.0,1.0,5.066072361614715e-08
pure_top_k,0.1,1.0,15,32,25,300,0.003447900991886854,1.0,0.9965521097183228,0.011711937375366688
pure_top_k,0.1,1.0,15,33,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,15,34,25,300,0.033347535878419876,0.92,0.9666524529457092,0.11327595263719559
pure_top_k,0.1,1.0,15,35,25,300,9.536743306171047e-08,1.0,1.0,1.1699592761260647e-07
pure_top_k,0.1,1.0,15,36,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,15,37,25,300,1.668930060816365e-08,1.0,1.0,3.1592509941447133e-08
pure_top_k,0.1,1.0,15,38,25,300,2.1457672971791908e-08,1.0,1.0,3.582254137768359e-08
pure_top_k,0.1,1.0,15,39,25,300,4.7683716530855236e-08,1.0,1.0,5.849796380630323e-08
pure_top_k,0.1,1.0,15,40,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,15,41,25,300,8.583069188716763e-08,1.0,1.0,1.013214472322943e-07
pure_top_k,0.1,1.0,15,42,25,300,3.814697180359872e-08,1.0,1.0,4.776338613510234e-08
pure_top_k,0.1,1.0,15,43,25,300,0.04771457612514496,0.8466666666666667,0.9522854685783386,0.11045828461647034
pure_top_k,0.1,1.0,15,44,25,300,0.04774831235408783,0.5466666666666666,0.952251672744751,0.05252130702137947
pure_top_k,0.1,1.0,15,45,25,300,0.12057388573884964,0.29333333333333333,0.8794260621070862,0.08202081173658371
pure_top_k,0.1,1.0,15,46,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,15,47,25,300,0.10599276423454285,0.16,0.89400714635849,0.05692228674888611
pure_top_k,0.1,1.0,15,48,25,300,9.298324243900424e-08,1.0,1.0,1.0061536670491478e-07
pure_top_k,0.1,1.0,15,49,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,20,0,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,20,1,25,300,0.007542761042714119,1.0,0.9924572706222534,0.0073565030470490456
