decoding_mode,temperature,top_p,top_k,prompt_id,correctness,strict_accuracy,informativeness,within_answer_distinct_1,within_answer_distinct_2,trigram_repetition_rate,model_generation_latency_seconds,tokens_per_second,word_length,stopped_early_on_eos,unique_answer_rate,pairwise_token_jaccard_distance,corpus_distinct_1,corpus_distinct_2,n_answers,n_pairs,semantic_cosine_distance,semantic_near_duplicate_rate,semantic_similarity_mean,semantic_similarity_sd
pure_top_k,0.1,1.0,10,0,1.0,1.0,0.5,1.0,1.0,0.0,0.4271189161576331,42.17000476898437,14.0,1.0,0.04,0.0,0.04,0.04,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,10,1,0.0,0.0,0.25,1.0,1.0,0.0,0.1827193991374223,43.78307738051853,6.0,1.0,0.08,0.1511111111111111,0.04,0.048,25,300,0.00666113430634141,1.0,0.993338942527771,0.00732699129730463
pure_top_k,0.1,1.0,10,2,0.5,0.0,0.27,1.0,1.0,0.0,0.2767117766477167,43.3705454252866,9.0,1.0,0.08,0.1533333333333333,0.08,0.08,25,300,0.03474663943052292,0.8466666666666667,0.9652534127235413,0.08178535848855972
pure_top_k,0.1,1.0,10,3,0.0,0.0,0.25,1.0,1.0,0.0,0.1830904645565897,43.69605188797075,6.0,1.0,0.08,0.1466666666666666,0.0466666666666666,0.056,25,300,0.0023272510152310133,1.0,0.9976727366447449,0.0022697518579661846
pure_top_k,0.1,1.0,10,4,0.0,0.0,0.25,1.0,1.0,0.0,0.0912487542256712,43.83627813564737,2.0,1.0,0.04,0.0,0.04,0.04,25,300,9.536743306171047e-08,1.0,1.0,1.1699592761260647e-07
pure_top_k,0.1,1.0,10,5,0.0,0.0,0.0,1.0,1.0,0.0,0.068683383418247,43.67885308281588,2.0,1.0,0.04,0.0,0.04,0.04,25,300,1.9073486612342094e-07,1.0,0.9999998211860657,1.3562194567384722e-07
pure_top_k,0.1,1.0,10,6,0.76,0.68,0.68,0.9486226720647774,1.0,0.0,0.7086871084291488,43.61596469656852,26.88,0.88,0.24,0.2518092385506926,0.0941704035874439,0.1304347826086956,25,300,0.06739339232444763,0.6466666666666666,0.9326066374778748,0.08934400230646133
pure_top_k,0.1,1.0,10,7,0.0,0.0,0.44,0.9710516934046346,1.0,0.0,0.5241865835804492,43.73651058410087,15.56,1.0,0.24,0.5014783829696873,0.107981220657277,0.1770573566084788,25,300,0.04774513095617294,0.5166666666666667,0.9522548317909241,0.029611891135573387
pure_top_k,0.1,1.0,10,8,0.0,0.0,0.0,1.0,0.0,0.0,0.045765493037179,43.70945871684772,1.0,1.0,0.04,0.0,0.04,,25,300,3.099441414633475e-08,1.0,1.0,5.970423444523476e-08
pure_top_k,0.1,1.0,10,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0683075028844177,43.919230458535104,1.0,1.0,0.04,0.0,0.04,,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,10,10,1.0,1.0,0.75,0.9615384615384616,1.0,0.0,0.7130770699214191,43.48524074766578,26.0,1.0,0.04,0.0,0.0384615384615384,0.04,25,300,0.0,1.0,1.0,0.0
pure_top_k,0.1,1.0,10,11,0.0,0.0,0.29,0.9965217391304348,0.08,0.0,0.1207779582869261,43.67756541689888,2.76,1.0,0.08,0.1469444444444445,0.3287671232876712,0.5,25,300,0.07999646663665771,0.8466666666666667,0.9200034737586975,0.18829263746738434
pure_top_k,0.1,1.0,10,12,0.5,0.0,0.5,1.0,1.0,0.0,0.4110869939811528,43.78695481251525,13.0,1.0,0.04,0.0,0.04,0.04,25,300,2.384185791015625e-07,1.0,0.9999998211860657,1.7262681240026723e-07
pure_top_k,0.1,1.0,10,13,0.46,0.0,0.25,1.0,1.0,0.0,0.1602121686283498,42.911413669249214,4.88,1.0,0.08,0.1124444444444444,0.1229508196721311,0.1443298969072164,25,300,0.019278375431895256,0.8466666666666667,0.980721652507782,0.04537655785679817
pure_top_k,0.1,1.0,10,14,0.5,0.0,0.0,1.0,0.0,0.0,0.068341920915991,43.897038160998726,1.0,1.0,0.04,0.0,0.04,,25,300,0.0,1.0,1.0,0.0
