metric,metric_source,parameter,parameter_value,baseline_parameter_value,temperature_low,temperature_high,difference_in_differences,se_across_prompts,ci95_low,ci95_high,n_prompts
correctness,provisional_qwen3_nf4,top_p,0.8,0.6,0.1,1.5,0.00600000000000001,0.017577815331739455,-0.029323942413494283,0.041323942413494304,50
correctness,provisional_qwen3_nf4,top_p,0.9,0.6,0.1,1.5,0.037200000000000004,0.022307754668889172,-0.007629111378553849,0.08202911137855386,50
correctness,provisional_qwen3_nf4,top_p,0.95,0.6,0.1,1.5,0.030400000000000003,0.020414000797771822,-0.010623470493938789,0.0714234704939388,50
strict_accuracy,provisional_qwen3_nf4,top_p,0.8,0.6,0.1,1.5,-0.02,0.018960754312042354,-0.05810306234277175,0.018103062342771755,50
strict_accuracy,provisional_qwen3_nf4,top_p,0.9,0.6,0.1,1.5,-0.0016000000000000014,0.023055142416318633,-0.0479310432883219,0.04473104328832189,50
strict_accuracy,provisional_qwen3_nf4,top_p,0.95,0.6,0.1,1.5,-0.022399999999999996,0.021958327879538234,-0.06652691195548463,0.021726911955484637,50
informativeness,provisional_qwen3_nf4,top_p,0.8,0.6,0.1,1.5,-0.0055999999999999965,0.011836160436457046,-0.029385654915792887,0.018185654915792892,50
informativeness,provisional_qwen3_nf4,top_p,0.9,0.6,0.1,1.5,-0.0118,0.0162120892156037,-0.044379413029807184,0.020779413029807188,50
informativeness,provisional_qwen3_nf4,top_p,0.95,0.6,0.1,1.5,-0.0418,0.01681032238761381,-0.07558160759830798,-0.008018392401692012,50
within_answer_distinct_1,direct_generation,top_p,0.8,0.6,0.1,1.5,0.00028581159422313984,0.002559482988943651,-0.0048576620402115515,0.005429285228657831,50
within_answer_distinct_1,direct_generation,top_p,0.9,0.6,0.1,1.5,0.0023968343736152707,0.002566557099017183,-0.0027608552172479176,0.007554523964478459,50
within_answer_distinct_1,direct_generation,top_p,0.95,0.6,0.1,1.5,0.0025477200784587996,0.0029907208541704437,-0.0034623584912481307,0.00855779864816573,50
within_answer_distinct_2,direct_generation,top_p,0.8,0.6,0.1,1.5,0.01100585814743062,0.012631616025612118,-0.014378324622564352,0.03639004091742559,50
within_answer_distinct_2,direct_generation,top_p,0.9,0.6,0.1,1.5,0.03142613349944118,0.01997770469751332,-0.008720567155362069,0.07157283415424442,50
within_answer_distinct_2,direct_generation,top_p,0.95,0.6,0.1,1.5,0.021651887961626145,0.018369080441972087,-0.015262161223395982,0.058565937146648275,50
trigram_repetition_rate,direct_generation,top_p,0.8,0.6,0.1,1.5,7.4844969844972e-05,0.0003103330840715477,-0.0005487927111671566,0.0006984826508571007,50
trigram_repetition_rate,direct_generation,top_p,0.9,0.6,0.1,1.5,0.00018209819633481804,0.000286743009052002,-0.0003941334540760104,0.0007583298467456465,50
trigram_repetition_rate,direct_generation,top_p,0.95,0.6,0.1,1.5,0.00042313051727762397,0.00045586516930372454,-0.0004929648384248691,0.0013392258729801171,50
model_generation_latency_seconds,direct_generation,top_p,0.8,0.6,0.1,1.5,0.04841367137823255,0.013240786763142729,0.021805314178912308,0.07502202857755279,50
model_generation_latency_seconds,direct_generation,top_p,0.9,0.6,0.1,1.5,0.08438200665824118,0.016500582997259015,0.0512228436687537,0.11754116964772865,50
model_generation_latency_seconds,direct_generation,top_p,0.95,0.6,0.1,1.5,0.10161804026439787,0.016295645098404674,0.06887071540159737,0.13436536512719838,50
tokens_per_second,direct_generation,top_p,0.8,0.6,0.1,1.5,-0.012133785741724665,0.12037456674827747,-0.2540355342592238,0.22976796277577446,50
