decoding_mode,temperature,top_p,top_k,prompt_id,correctness,strict_accuracy,informativeness,within_answer_distinct_1,within_answer_distinct_2,trigram_repetition_rate,model_generation_latency_seconds,tokens_per_second,word_length,stopped_early_on_eos,unique_answer_rate,pairwise_token_jaccard_distance,corpus_distinct_1,corpus_distinct_2
pure_top_k,0.1,1.0,10,0,1.0,1.0,0.5,1.0,1.0,0.0,0.4271189161576331,42.17000476898437,14.0,1.0,0.04,0.0,0.04,0.04
pure_top_k,0.1,1.0,10,1,0.0,0.0,0.25,1.0,1.0,0.0,0.18271939913742238,43.78307738051853,6.0,1.0,0.08,0.15111111111111114,0.04,0.048
pure_top_k,0.1,1.0,10,2,0.5,0.0,0.27,1.0,1.0,0.0,0.27671177664771673,43.3705454252866,9.0,1.0,0.08,0.15333333333333332,0.08,0.08
pure_top_k,0.1,1.0,10,3,0.0,0.0,0.25,1.0,1.0,0.0,0.1830904645565897,43.69605188797075,6.0,1.0,0.08,0.14666666666666664,0.04666666666666667,0.056
pure_top_k,0.1,1.0,10,4,0.0,0.0,0.25,1.0,1.0,0.0,0.09124875422567126,43.83627813564737,2.0,1.0,0.04,0.0,0.04,0.04
pure_top_k,0.1,1.0,10,5,0.0,0.0,0.0,1.0,1.0,0.0,0.06868338341824705,43.67885308281588,2.0,1.0,0.04,0.0,0.04,0.04
pure_top_k,0.1,1.0,10,6,0.76,0.68,0.68,0.9486226720647774,1.0,0.0,0.7086871084291488,43.61596469656852,26.88,0.88,0.24,0.2518092385506926,0.09417040358744394,0.13043478260869565
pure_top_k,0.1,1.0,10,7,0.0,0.0,0.44,0.9710516934046346,1.0,0.0,0.5241865835804492,43.73651058410087,15.56,1.0,0.24,0.5014783829696873,0.107981220657277,0.1770573566084788
pure_top_k,0.1,1.0,10,8,0.0,0.0,0.0,1.0,0.0,0.0,0.045765493037179056,43.70945871684772,1.0,1.0,0.04,0.0,0.04,
pure_top_k,0.1,1.0,10,9,0.0,0.0,0.0,1.0,0.0,0.0,0.06830750288441774,43.919230458535104,1.0,1.0,0.04,0.0,0.04,
pure_top_k,0.1,1.0,10,10,1.0,1.0,0.75,0.9615384615384615,1.0,0.0,0.7130770699214191,43.48524074766578,26.0,1.0,0.04,0.0,0.038461538461538464,0.04
pure_top_k,0.1,1.0,10,11,0.0,0.0,0.29,0.9965217391304347,0.08,0.0,0.1207779582869261,43.67756541689888,2.76,1.0,0.08,0.1469444444444445,0.3287671232876712,0.5
pure_top_k,0.1,1.0,10,12,0.5,0.0,0.5,1.0,1.0,0.0,0.4110869939811528,43.78695481251525,13.0,1.0,0.04,0.0,0.04,0.04
pure_top_k,0.1,1.0,10,13,0.46,0.0,0.25,1.0,1.0,0.0,0.16021216862834986,42.911413669249214,4.88,1.0,0.08,0.11244444444444444,0.12295081967213115,0.14432989690721648
pure_top_k,0.1,1.0,10,14,0.5,0.0,0.0,1.0,0.0,0.0,0.06834192091599102,43.897038160998726,1.0,1.0,0.04,0.0,0.04,
pure_top_k,0.1,1.0,10,15,1.0,1.0,0.25,1.0,1.0,0.0,0.18284777519293122,43.75471785797165,6.0,1.0,0.04,0.0,0.04,0.04
pure_top_k,0.1,1.0,10,16,0.0,0.0,0.25,1.0,1.0,0.0,0.39152270761318503,43.43343724754219,8.0,1.0,0.04,0.0,0.04,0.04
pure_top_k,0.1,1.0,10,17,0.0,0.0,0.25,1.0,1.0,0.0,0.5032871346082538,43.71405653999666,18.0,1.0,0.04,0.0,0.03777777777777778,0.04
