decoding_mode,temperature,top_p,top_k,token_steps,mean_entropy_nats,mean_effective_support,median_retained_support,maximum_retained_support,mean_max_probability
pure_top_k,0.3,1.0,1,4019,0.0041392217912790226,1.0059716347577565,1.0,2,0.9970141826324956
pure_top_k,0.3,1.0,5,4102,0.10480002933164603,1.1452668020102654,5.0,7,0.9593345428140846
pure_top_k,0.3,1.0,10,4154,0.10893439699518064,1.1543709953202048,10.0,13,0.9580417425157821
pure_top_k,0.3,1.0,30,4104,0.105297737863728,1.1481810421852436,30.0,36,0.9599628943231022
pure_top_k,0.7,1.0,1,4023,0.003962810140861494,1.005717126544274,1.0,2,0.9971414367387522
pure_top_k,0.7,1.0,5,4272,0.25847100718451876,1.4067868364995972,5.0,7,0.901662975626436
pure_top_k,0.7,1.0,10,4364,0.2886907141178026,1.491646002326741,10.0,13,0.8929855578112067
pure_top_k,0.7,1.0,30,4195,0.2887973154411921,1.5078998517756428,30.0,37,0.895254814273126
pure_top_k,1.5,1.0,1,4050,0.004107538859049479,1.0059259259484996,1.0,2,0.997037037037037
pure_top_k,1.5,1.0,5,4480,0.54625921694815,1.9843988245438384,5.0,7,0.7947236383699678
pure_top_k,1.5,1.0,10,4822,0.6702266917246601,2.4526558412620774,10.0,13,0.7742431553344121
pure_top_k,1.5,1.0,30,4717,0.8143076544347071,3.362422292700554,30.0,36,0.7546476830608111
pure_top_p,0.3,0.6,0,4009,0.018678598375384662,1.026630889673516,1.0,2,0.988322961550456
pure_top_p,0.3,0.9,0,4101,0.06849065693347403,1.096811504504292,1.0,5,0.9685227800232409
pure_top_p,0.3,0.95,0,4082,0.08879805181042229,1.1267379148513799,1.0,8,0.9615098889451702
pure_top_p,0.7,0.6,0,4051,0.06585395528898802,1.097846143050377,1.0,4,0.9617667460523985
pure_top_p,0.7,0.9,0,4077,0.20118910596889406,1.328870806212354,1.0,65,0.9110552506073158
pure_top_p,0.7,0.95,0,4402,0.23573616377735127,1.4025777577686787,1.0,89,0.904798021693221
pure_top_p,1.5,0.6,0,4303,0.6446312092921636,40.67919493732986,1.0,11038,0.8236733798442792
pure_top_p,1.5,0.9,0,5134,1.8741187563388786,828.999827197763,3.0,68778,0.676920469810257
pure_top_p,1.5,0.95,0,5525,2.408640010199463,1500.070137087252,7.0,98221,0.6230008948481814
