decoding_mode,dimension,reference_value,comparison_value,metric,mean_paired_difference,ci95_low,ci95_high,ci_excludes_zero,n_prompts
pure_top_k,temperature,0.1,0.3,correctness,-0.002399999999999999,-0.025464387093525814,0.020664387093525815,False,50
pure_top_k,temperature,0.1,0.3,strict_accuracy,-0.0073600000000000046,-0.03940011309842711,0.024680113098427096,False,50
pure_top_k,temperature,0.1,0.3,informativeness,0.006720000000000006,-0.010955700762346015,0.02439570076234603,False,50
pure_top_k,temperature,0.1,0.3,within_answer_distinct_1,-0.002066163329704278,-0.006706942560623432,0.002574615901214876,False,50
pure_top_k,temperature,0.1,0.3,within_answer_distinct_2,0.004212060133415123,-0.0149904308625845,0.023414551129414745,False,50
pure_top_k,temperature,0.1,0.3,trigram_repetition_rate,5.3372919478182534e-05,-8.217486111292163e-06,0.00011496332506765723,False,50
pure_top_k,temperature,0.1,0.3,model_generation_latency_seconds,0.00487932134009899,-0.011386552697730482,0.02114519537792846,False,50
pure_top_k,temperature,0.1,0.3,tokens_per_second,-0.0363381210577596,-0.11251842924132555,0.039842187125806346,False,50
pure_top_k,temperature,0.1,0.3,word_length,0.19599999999999987,-0.38881835746836824,0.7808183574683679,False,50
pure_top_k,temperature,0.1,0.3,stopped_early_on_eos,0.014400000000000001,-0.01543491645706419,0.04423491645706419,False,50
pure_top_k,temperature,0.1,0.3,unique_answer_rate,0.18336000000000002,0.1300445365830888,0.23667546341691126,True,50
pure_top_k,temperature,0.1,0.3,pairwise_token_jaccard_distance,0.15689805024510042,0.11488512208703328,0.19891097840316757,True,50
pure_top_k,temperature,0.1,0.3,corpus_distinct_1,0.03042765595468401,0.016577272718148718,0.0442780391912193,True,50
pure_top_k,temperature,0.1,0.3,corpus_distinct_2,0.059428338713318776,0.02455045077767138,0.09430622664896618,True,50
pure_top_k,temperature,0.1,0.7,correctness,-0.00656000000000001,-0.04308626175452398,0.029966261754523958,False,50
pure_top_k,temperature,0.1,0.7,strict_accuracy,-0.009120000000000007,-0.056884048980797255,0.03864404898079725,False,50
pure_top_k,temperature,0.1,0.7,informativeness,0.0194,-0.00549078737203787,0.04429078737203787,False,50
pure_top_k,temperature,0.1,0.7,within_answer_distinct_1,-0.006490500720103696,-0.013722013298595365,0.0007410118583879733,False,50
pure_top_k,temperature,0.1,0.7,within_answer_distinct_2,0.0064360026656119125,-0.0204560381283508,0.03332804345957463,False,50
pure_top_k,temperature,0.1,0.7,trigram_repetition_rate,0.0002637682174044102,6.740861855449625e-05,0.00046012781625432407,True,50
pure_top_k,temperature,0.1,0.7,model_generation_latency_seconds,0.0214452858195454,-0.010259164527596194,0.053149736166687,False,50
pure_top_k,temperature,0.1,0.7,tokens_per_second,-0.017689162720277523,-0.10989577471344882,0.07451744927289376,False,50
pure_top_k,temperature,0.1,0.7,word_length,0.7329600000000001,-0.33393832758822883,1.799858327588229,False,50
pure_top_k,temperature,0.1,0.7,stopped_early_on_eos,0.017439999999999997,-0.02539425906631279,0.060274259066312785,False,50
pure_top_k,temperature,0.1,0.7,unique_answer_rate,0.43392,0.3501864629539633,0.5176535370460367,True,50
pure_top_k,temperature,0.1,0.7,pairwise_token_jaccard_distance,0.3414582417863559,0.28028133201556293,0.4026351515571489,True,50
pure_top_k,temperature,0.1,0.7,corpus_distinct_1,0.10392591265075725,0.07572801301594666,0.13212381228556783,True,50
pure_top_k,temperature,0.1,0.7,corpus_distinct_2,0.20057812041242193,0.14946580177488178,0.2516904390499621,True,50
pure_top_k,temperature,0.1,1.0,correctness,-0.003600000000000002,-0.04620727900253665,0.03900727900253665,False,50
pure_top_k,temperature,0.1,1.0,strict_accuracy,-0.01008,-0.06440230461090544,0.04424230461090545,False,50
pure_top_k,temperature,0.1,1.0,informativeness,0.01936,-0.010468911870197346,0.04918891187019735,False,50
pure_top_k,temperature,0.1,1.0,within_answer_distinct_1,-0.006747255120145643,-0.014113580412039466,0.0006190701717481784,False,50
pure_top_k,temperature,0.1,1.0,within_answer_distinct_2,0.005303833008431735,-0.02089194059899556,0.03149960661585903,False,50
pure_top_k,temperature,0.1,1.0,trigram_repetition_rate,0.00033573341468057694,0.00011361295793900082,0.000557853871422153,True,50
pure_top_k,temperature,0.1,1.0,model_generation_latency_seconds,0.02886661816027015,-0.01039032362633031,0.06812355994687061,False,50
pure_top_k,temperature,0.1,1.0,tokens_per_second,-0.01744687905909018,-0.11243316643216662,0.07753940831398627,False,50
pure_top_k,temperature,0.1,1.0,word_length,0.7572799999999998,-0.5872447004579128,2.1018047004579126,False,50
pure_top_k,temperature,0.1,1.0,stopped_early_on_eos,0.01152,-0.0336551080202361,0.056695108020236105,False,50
pure_top_k,temperature,0.1,1.0,unique_answer_rate,0.53552,0.44813311265046685,0.6229068873495331,True,50
pure_top_k,temperature,0.1,1.0,pairwise_token_jaccard_distance,0.429553225813398,0.36550675900029306,0.49359969262650294,True,50
pure_top_k,temperature,0.1,1.0,corpus_distinct_1,0.15641742703704564,0.1262094594075704,0.1866253946665209,True,50
pure_top_k,temperature,0.1,1.0,corpus_distinct_2,0.29736507090876224,0.24264087775748694,0.35208926406003754,True,50
pure_top_k,temperature,0.1,1.5,correctness,-0.003680000000000007,-0.055960774629303274,0.048600774629303255,False,50
pure_top_k,temperature,0.1,1.5,strict_accuracy,-0.031039999999999998,-0.09540349128628745,0.03332349128628745,False,50
pure_top_k,temperature,0.1,1.5,informativeness,0.017079999999999998,-0.018092495763593466,0.05225249576359346,False,50
pure_top_k,temperature,0.1,1.5,within_answer_distinct_1,-0.006132854504942873,-0.014261610769526135,0.0019959017596403892,False,50
pure_top_k,temperature,0.1,1.5,within_answer_distinct_2,0.006479582005538209,-0.031137673241116434,0.04409683725219285,False,50
pure_top_k,temperature,0.1,1.5,trigram_repetition_rate,0.000295887976009366,8.077083693863331e-05,0.0005110051150800987,True,50
pure_top_k,temperature,0.1,1.5,model_generation_latency_seconds,0.052875362253226345,0.00484370423981887,0.10090702026663381,True,50
pure_top_k,temperature,0.1,1.5,tokens_per_second,-0.0720519425058545,-0.1810061161489962,0.036902231137287175,False,50
pure_top_k,temperature,0.1,1.5,word_length,1.13904,-0.4579594746556932,2.7360394746556933,False,50
pure_top_k,temperature,0.1,1.5,stopped_early_on_eos,0.0059199999999999964,-0.04419758599773138,0.05603758599773137,False,50
pure_top_k,temperature,0.1,1.5,unique_answer_rate,0.6439999999999999,0.5621651630172088,0.725834836982791,True,50
pure_top_k,temperature,0.1,1.5,pairwise_token_jaccard_distance,0.5503283698570657,0.4896237179694733,0.6110330217446581,True,50
pure_top_k,temperature,0.1,1.5,corpus_distinct_1,0.23754898150881545,0.20402153679577964,0.27107642622185124,True,50
pure_top_k,temperature,0.1,1.5,corpus_distinct_2,0.44004914567184317,0.3832511224186257,0.49684716892506064,True,50
pure_top_k,top_k,10.0,15.0,correctness,8.000000000000715e-05,-0.005771890142509504,0.0059318901425095185,False,50
pure_top_k,top_k,10.0,15.0,strict_accuracy,-0.001440000000000003,-0.00833236024595349,0.005452360245953484,False,50
pure_top_k,top_k,10.0,15.0,informativeness,-0.002520000000000003,-0.006159241767181732,0.0011192417671817257,False,50
pure_top_k,top_k,10.0,15.0,within_answer_distinct_1,-8.707644546937621e-05,-0.00126625897936636,0.0010921060884276077,False,50
pure_top_k,top_k,10.0,15.0,within_answer_distinct_2,-0.001664004496241176,-0.007036802444642183,0.0037087934521598314,False,50
pure_top_k,top_k,10.0,15.0,trigram_repetition_rate,2.1444777383772734e-05,-9.614878150116901e-05,0.00013903833626871447,False,50
pure_top_k,top_k,10.0,15.0,model_generation_latency_seconds,0.002137339543029679,-0.0038667220468355215,0.00814140113289488,False,50
pure_top_k,top_k,10.0,15.0,tokens_per_second,0.034993731041743956,-0.06660127509057438,0.13658873717406228,False,50
pure_top_k,top_k,10.0,15.0,word_length,0.04112000000000002,-0.1402325968246388,0.22247259682463882,False,50
pure_top_k,top_k,10.0,15.0,stopped_early_on_eos,-0.006559999999999997,-0.014482003140620432,0.0013620031406204368,False,50
pure_top_k,top_k,10.0,15.0,unique_answer_rate,0.0044800000000000065,-0.0048547548784100315,0.013814754878410045,False,50
pure_top_k,top_k,10.0,15.0,pairwise_token_jaccard_distance,0.0045045246601009645,-0.0037948776855926854,0.012803927005794614,False,50
pure_top_k,top_k,10.0,15.0,corpus_distinct_1,0.00448670461194705,-0.0023930427074656153,0.011366451931359715,False,50
pure_top_k,top_k,10.0,15.0,corpus_distinct_2,0.022711571165637188,0.002141496428263199,0.04328164590301117,True,50
pure_top_k,top_k,10.0,20.0,correctness,-0.0016799999999999914,-0.00926989880301443,0.005909898803014447,False,50
pure_top_k,top_k,10.0,20.0,strict_accuracy,-0.002080000000000004,-0.010016178062518514,0.005856178062518506,False,50
pure_top_k,top_k,10.0,20.0,informativeness,-0.001120000000000005,-0.006261226997517232,0.004021226997517221,False,50
pure_top_k,top_k,10.0,20.0,within_answer_distinct_1,0.00011365736770878821,-0.0010275318949041017,0.001254846630321678,False,50
pure_top_k,top_k,10.0,20.0,within_answer_distinct_2,0.0016003597654500568,-0.005131159279066215,0.00833187880996633,False,50
pure_top_k,top_k,10.0,20.0,trigram_repetition_rate,1.1571898760397743e-05,-7.358920447827493e-05,9.673300199907042e-05,False,50
pure_top_k,top_k,10.0,20.0,model_generation_latency_seconds,0.006634089831039316,7.269153235410237e-05,0.013195488129724528,True,50
pure_top_k,top_k,10.0,20.0,tokens_per_second,0.05737302466154645,-0.03186946746927628,0.14661551679236917,False,50
pure_top_k,top_k,10.0,20.0,word_length,0.17695999999999984,-0.020135887979836037,0.3740558879798357,False,50
pure_top_k,top_k,10.0,20.0,stopped_early_on_eos,-0.005120000000000001,-0.00977057663521418,-0.00046942336478582227,True,50
pure_top_k,top_k,10.0,20.0,unique_answer_rate,0.004320000000000007,-0.0035959204038443866,0.0122359204038444,False,50
pure_top_k,top_k,10.0,20.0,pairwise_token_jaccard_distance,0.007683752412137772,-0.0017242001066929413,0.017091704930968486,False,50
pure_top_k,top_k,10.0,20.0,corpus_distinct_1,0.0023801716646954436,-0.006387299654014243,0.01114764298340513,False,50
pure_top_k,top_k,10.0,20.0,corpus_distinct_2,0.01899553393321116,-0.0026884326451907317,0.04067950051161305,False,50
pure_top_k,top_k,10.0,25.0,correctness,-0.005199999999999994,-0.012326756344929996,0.0019267563449300073,False,50
pure_top_k,top_k,10.0,25.0,strict_accuracy,-0.008480000000000008,-0.016985041366154557,2.5041366154538933e-05,False,50
pure_top_k,top_k,10.0,25.0,informativeness,-0.0019600000000000056,-0.007662648030520565,0.003742648030520554,False,50
pure_top_k,top_k,10.0,25.0,within_answer_distinct_1,-0.00017429257670408481,-0.001491133089349246,0.0011425479359410764,False,50
pure_top_k,top_k,10.0,25.0,within_answer_distinct_2,-0.0006148457380436235,-0.007690247309262561,0.006460555833175313,False,50
