decoding_mode,diversity_outcome,mechanism,formula_question_fe,estimate_question_fe,cluster_se_question_fe,p_value_question_fe,ci95_low_question_fe,ci95_high_question_fe,n_cells_question_fe,n_question_clusters_question_fe,question_fixed_effects_question_fe,interpretation_question_fe,formula_without_question_fe,estimate_without_question_fe,cluster_se_without_question_fe,p_value_without_question_fe,ci95_low_without_question_fe,ci95_high_without_question_fe,n_cells_without_question_fe,n_question_clusters_without_question_fe,question_fixed_effects_without_question_fe,interpretation_without_question_fe,estimate_change
pure_top_p,unique_answer_rate,mean_token_entropy_nats,standardized unique_answer_rate ~ standardized mean_token_entropy_nats + categorical temperature + categorical top_p + question fixed effects,0.024130901058286653,0.047586880603740014,0.6120906424807084,-0.06913938492504378,0.11740118704161707,450,50,True,standardized within-question conditional association; not a causal mediation estimate,standardized unique_answer_rate ~ standardized mean_token_entropy_nats + categorical temperature + categorical top_p,0.25325433742008785,0.06188944618016898,4.275874769470975e-05,0.13195102290695665,0.37455765193321905,450,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate,-0.22912343636180119
pure_top_p,unique_answer_rate,mean_effective_support_size,standardized unique_answer_rate ~ standardized mean_effective_support_size + categorical temperature + categorical top_p + question fixed effects,0.006983387083813499,0.031391532623006604,0.8239551455240081,-0.05454401685727944,0.06851079102490644,450,50,True,standardized within-question conditional association; not a causal mediation estimate,standardized unique_answer_rate ~ standardized mean_effective_support_size + categorical temperature + categorical top_p,0.07979076670971529,0.028295173382513226,0.004803223039175968,0.024332226879989365,0.1352493065394412,450,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate,-0.07280737962590178
pure_top_p,unique_answer_rate,mean_retained_support_size,standardized unique_answer_rate ~ standardized mean_retained_support_size + categorical temperature + categorical top_p + question fixed effects,-0.014999810297055516,0.035887297867460755,0.675969124690162,-0.0853389141172786,0.05533929352316757,450,50,True,standardized within-question conditional association; not a causal mediation estimate,standardized unique_answer_rate ~ standardized mean_retained_support_size + categorical temperature + categorical top_p,0.0804173584567496,0.0352132015070091,0.022387547798529212,0.011399483503011773,0.14943523341048742,450,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate,-0.09541716875380513
pure_top_p,unique_answer_rate,mean_max_token_probability,standardized unique_answer_rate ~ standardized mean_max_token_probability + categorical temperature + categorical top_p + question fixed effects,-0.15543385932425943,0.07031483472209207,0.027067604537658562,-0.29325093537955993,-0.017616783268958963,450,50,True,standardized within-question conditional association; not a causal mediation estimate,standardized unique_answer_rate ~ standardized mean_max_token_probability + categorical temperature + categorical top_p,-0.5635620415082975,0.09514784778156582,3.1609378022719874e-09,-0.7500518231601665,-0.37707225985642845,450,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate,0.408128182184038
pure_top_p,pairwise_token_jaccard_distance,mean_token_entropy_nats,standardized pairwise_token_jaccard_distance ~ standardized mean_token_entropy_nats + categorical temperature + categorical top_p + question fixed effects,0.2235996688504659,0.04540592415353192,8.459351943045015e-07,0.13460405750954335,0.31259528019138844,450,50,True,standardized within-question conditional association; not a causal mediation estimate,standardized pairwise_token_jaccard_distance ~ standardized mean_token_entropy_nats + categorical temperature + categorical top_p,0.4225850073159364,0.06701456883442466,2.8658369877855336e-10,0.29123645240046403,0.5539335622314088,450,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate,-0.1989853384654705
pure_top_p,pairwise_token_jaccard_distance,mean_effective_support_size,standardized pairwise_token_jaccard_distance ~ standardized mean_effective_support_size + categorical temperature + categorical top_p + question fixed effects,0.11971927751732449,0.032686553518185196,0.00024962330393318724,0.055653632621681506,0.18378492241296746,450,50,True,standardized within-question conditional association; not a causal mediation estimate,standardized pairwise_token_jaccard_distance ~ standardized mean_effective_support_size + categorical temperature + categorical top_p,0.1785967674896018,0.03283165569319388,5.3348380485965114e-08,0.1142467223309418,0.2429468126482618,450,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate,-0.058877489972277305
pure_top_p,pairwise_token_jaccard_distance,mean_retained_support_size,standardized pairwise_token_jaccard_distance ~ standardized mean_retained_support_size + categorical temperature + categorical top_p + question fixed effects,0.12319570274315417,0.03585323849293527,0.0005901294064825243,0.05292335529700104,0.1934680501893073,450,50,True,standardized within-question conditional association; not a causal mediation estimate,standardized pairwise_token_jaccard_distance ~ standardized mean_retained_support_size + categorical temperature + categorical top_p,0.21289924317992964,0.038267777100503934,2.6455692402377433e-08,0.13789440006294193,0.2879040862969173,450,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate,-0.08970354043677548
pure_top_p,pairwise_token_jaccard_distance,mean_max_token_probability,standardized pairwise_token_jaccard_distance ~ standardized mean_max_token_probability + categorical temperature + categorical top_p + question fixed effects,-0.4056978026700746,0.06157174554699338,4.4272269519843954e-11,-0.5263784239421816,-0.2850171813979676,450,50,True,standardized within-question conditional association; not a causal mediation estimate,standardized pairwise_token_jaccard_distance ~ standardized mean_max_token_probability + categorical temperature + categorical top_p,-0.7315879519874098,0.0933782782660317,4.70077407586533e-15,-0.914609377388832,-0.5485665265859876,450,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate,0.3258901493173352
pure_top_k,unique_answer_rate,mean_token_entropy_nats,standardized unique_answer_rate ~ standardized mean_token_entropy_nats + categorical temperature + categorical top_k + question fixed effects,0.4537610808928538,0.04307610255806893,6.025828691257015e-26,0.3693319198790387,0.5381902419066689,600,50,True,standardized within-question conditional association; not a causal mediation estimate,standardized unique_answer_rate ~ standardized mean_token_entropy_nats + categorical temperature + categorical top_k,0.657729776146528,0.06257304715477084,7.655579777006388e-26,0.5350866037231771,0.7803729485698788,600,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate,-0.20396869525367417
pure_top_k,unique_answer_rate,mean_effective_support_size,standardized unique_answer_rate ~ standardized mean_effective_support_size + categorical temperature + categorical top_k + question fixed effects,0.23844384406210972,0.04089744443903392,5.533208244474958e-09,0.15828485296160325,0.3186028351626162,600,50,True,standardized within-question conditional association; not a causal mediation estimate,standardized unique_answer_rate ~ standardized mean_effective_support_size + categorical temperature + categorical top_k,0.428118750174765,0.07957151519214456,7.436115304185394e-08,0.27215858039816165,0.5840789199513683,600,50,False,standardized conditional association without question fixed effects; not a causal mediation estimate,-0.18967490611265525
