decoding_mode,metric,temperature,reference_temperature,raw_difference,audit_adjusted_difference,direction_preserved
pure_top_k,correctness,0.3,0.1,-0.0023999999999998467,0.0759125000000001,False
pure_top_k,correctness,0.7,0.1,-0.006559999999999899,-0.05599749999999995,True
pure_top_k,correctness,1.0,0.1,-0.0036000000000000476,0.0593999999999999,False
pure_top_k,correctness,1.5,0.1,-0.0036799999999999056,0.07463250000000005,False
pure_top_k,informativeness,0.3,0.1,0.006720000000000115,0.1156262500000001,True
pure_top_k,informativeness,0.7,0.1,0.019400000000000084,0.0018062500000001203,True
pure_top_k,informativeness,1.0,0.1,0.01935999999999999,0.12211000000000011,True
pure_top_k,informativeness,1.5,0.1,0.017079999999999984,-0.00882624999999998,False
pure_top_p,correctness,0.3,0.1,-0.00379999999999997,0.07295000000000001,False
pure_top_p,correctness,0.7,0.1,-0.0015000000000001124,0.03849999999999987,False
pure_top_p,correctness,1.0,0.1,-0.0019000000000000683,-0.0019000000000000683,True
pure_top_p,correctness,1.5,0.1,0.008000000000000007,0.028000000000000025,True
pure_top_p,informativeness,0.3,0.1,0.004349999999999965,0.007943749999999916,True
pure_top_p,informativeness,0.7,0.1,0.014599999999999946,0.15325624999999993,True
pure_top_p,informativeness,1.0,0.1,0.01889999999999986,-0.01269375000000017,False
pure_top_p,informativeness,1.5,0.1,-0.031000000000000028,-0.04556250000000006,True
